ORF	Gene
MAG51_20_2	Gene012930
MAG14_14_32	Gene012930
MAG51_20_3	Gene012931
MAG51_20_12	Gene012932
MAG60_6_31	Gene012932
MAG62_40_4	Gene012932
MAG42_819_3	Gene012932
MAG14_22_36	Gene012932
MAG20_3_145	Gene012932
MAG51_20_14	Gene012933
MAG51_20_16	Gene012934
MAG51_20_17	Gene012935
MAG62_44_3	Gene012935
MAG51_20_18	Gene012936
MAG51_20_19	Gene012937
MAG51_20_20	Gene012938
MAG31_39_2	Gene012938
MAG05_5_67	Gene012938
MAG21_52_2	Gene012938
MAG52_53_20	Gene012938
MAG41_62_22	Gene012938
MAG60_1_61	Gene012938
MAG51_20_21	Gene012939
MAG51_20_26	Gene012940
MAG51_21_2	Gene012941
MAG51_21_4	Gene012942
MAG51_21_6	Gene012943
MAG51_21_7	Gene012944
MAG51_21_8	Gene012945
MAG51_21_9	Gene012946
MAG51_21_10	Gene012947
MAG51_21_11	Gene012948
MAG51_21_15	Gene012949
MAG51_21_17	Gene012950
MAG51_21_18	Gene012951
MAG51_21_19	Gene012952
MAG51_21_20	Gene012953
MAG51_21_21	Gene012954
MAG51_22_1	Gene012955
MAG51_22_2	Gene012956
MAG63_57_4	Gene012956
MAG51_131_4	Gene012957
MAG05_11_13	Gene012957
MAG41_12_30	Gene012957
MAG52_71_15	Gene012957
MAG60_43_13	Gene012957
MAG42_555_2	Gene012957
MAG62_3_37	Gene012957
MAG51_131_7	Gene012958
MAG14_21_55	Gene012958
MAG51_131_10	Gene012959
MAG51_132_1	Gene012960
MAG51_132_5	Gene012961
MAG05_28_25	Gene012961
MAG41_32_22	Gene012961
MAG52_34_24	Gene012961
MAG60_12_36	Gene012961
MAG29_28_11	Gene012961
MAG62_24_29	Gene012961
MAG14_3_2	Gene012961
MAG20_15_23	Gene012961
MAG51_132_6	Gene012962
MAG62_24_30	Gene012962
MAG51_132_7	Gene012963
MAG51_133_1	Gene012964
MAG51_133_7	Gene012965
MAG51_134_1	Gene012966
MAG51_134_2	Gene012967
MAG51_135_2	Gene012968
MAG51_135_3	Gene012969
MAG51_135_4	Gene012970
MAG51_136_1	Gene012971
MAG51_136_2	Gene012972
MAG51_136_3	Gene012973
MAG62_13_24	Gene012973
MAG20_27_4	Gene012973
MAG14_59_11	Gene012973
MAG52_14_18	Gene012973
MAG60_44_23	Gene012973
MAG41_7_76	Gene012973
MAG05_76_4	Gene012973
MAG42_482_1	Gene012973
MAG51_136_6	Gene012974
MAG51_136_7	Gene012975
MAG51_137_1	Gene012976
MAG51_137_3	Gene012977
MAG51_137_4	Gene012978
MAG51_137_5	Gene012979
MAG51_137_7	Gene012980
MAG51_138_1	Gene012981
MAG51_138_5	Gene012982
MAG51_138_6	Gene012983
MAG05_67_18	Gene012983
MAG51_138_9	Gene012984
MAG05_67_21	Gene012984
MAG51_139_1	Gene012985
MAG51_139_4	Gene012986
MAG51_139_6	Gene012987
MAG51_139_9	Gene012988
MAG51_139_10	Gene012989
MAG51_140_2	Gene012990
MAG51_141_3	Gene012991
MAG51_141_4	Gene012992
MAG66_632_3	Gene012992
MAG56_38_19	Gene012992
MAG51_141_5	Gene012993
MAG51_142_1	Gene012994
MAG51_142_6	Gene012995
MAG56_92_15	Gene012995
MAG56_152_11	Gene012995
MAG51_142_8	Gene012996
MAG56_92_17	Gene012996
MAG41_255_6	Gene012996
MAG51_522_2	Gene012996
MAG52_149_6	Gene012996
MAG60_113_4	Gene012996
MAG34_229_4	Gene012996
MAG51_317_3	Gene012996
MAG51_142_10	Gene012997
MAG56_92_19	Gene012997
MAG56_152_5	Gene012997
MAG51_142_12	Gene012998
MAG66_243_5	Gene012998
MAG56_152_3	Gene012998
MAG60_253_2	Gene012998
MAG51_142_13	Gene012999
MAG56_152_2	Gene012999
MAG60_253_1	Gene012999
MAG51_142_14	Gene013000
MAG51_143_1	Gene013001
MAG51_143_2	Gene013002
MAG51_266_1	Gene013003
MAG51_266_2	Gene013004
MAG51_266_5	Gene013005
MAG51_267_7	Gene013006
MAG56_185_7	Gene013006
MAG51_122_4	Gene013006
MAG56_190_6	Gene013006
MAG51_268_5	Gene013007
MAG51_269_1	Gene013008
MAG51_269_3	Gene013009
MAG20_9_77	Gene013009
MAG51_269_4	Gene013010
MAG51_269_5	Gene013011
MAG51_270_1	Gene013012
MAG51_270_2	Gene013013
MAG51_270_3	Gene013014
MAG51_270_5	Gene013015
MAG51_270_6	Gene013016
MAG51_271_1	Gene013017
MAG62_16_2	Gene013017
MAG51_271_3	Gene013018
MAG51_271_4	Gene013019
MAG51_271_5	Gene013020
MAG51_272_1	Gene013021
MAG51_272_2	Gene013022
MAG51_272_4	Gene013023
MAG51_272_5	Gene013024
MAG51_273_1	Gene013025
MAG51_273_2	Gene013026
MAG56_59_8	Gene013026
MAG60_67_4	Gene013026
MAG05_16_36	Gene013026
MAG41_129_8	Gene013026
MAG29_3_25	Gene013026
MAG51_273_5	Gene013027
MAG51_274_1	Gene013028
MAG51_274_2	Gene013029
MAG51_274_4	Gene013030
MAG51_275_1	Gene013031
MAG51_275_2	Gene013032
MAG51_275_3	Gene013033
MAG51_275_4	Gene013034
MAG45_542_1	Gene013034
MAG31_270_4	Gene013034
MAG51_275_5	Gene013035
MAG51_276_1	Gene013036
MAG51_276_2	Gene013037
MAG51_276_6	Gene013038
MAG51_277_1	Gene013039
MAG51_277_2	Gene013040
MAG60_80_7	Gene013040
MAG42_75_6	Gene013040
MAG29_12_52	Gene013040
MAG52_63_22	Gene013040
MAG56_30_33	Gene013040
MAG51_277_4	Gene013041
MAG52_63_24	Gene013041
MAG29_12_54	Gene013041
MAG56_30_35	Gene013041
MAG66_264_1	Gene013041
MAG05_25_2	Gene013041
MAG60_80_4	Gene013041
MAG60_80_9	Gene013041
MAG42_75_4	Gene013041
MAG51_278_1	Gene013042
MAG51_278_3	Gene013043
MAG42_43_10	Gene013043
MAG05_83_4	Gene013043
MAG51_278_6	Gene013044
MAG05_83_1	Gene013044
MAG51_279_1	Gene013045
MAG62_69_3	Gene013045
MAG51_279_2	Gene013046
MAG51_280_1	Gene013047
MAG51_280_2	Gene013048
MAG51_280_3	Gene013049
MAG51_280_4	Gene013050
MAG51_281_1	Gene013051
MAG51_281_2	Gene013052
MAG51_281_3	Gene013053
MAG51_282_1	Gene013054
MAG56_96_12	Gene013054
MAG51_283_1	Gene013055
MAG51_283_3	Gene013056
MAG45_392_1	Gene013056
MAG51_283_4	Gene013057
MAG51_284_1	Gene013058
MAG51_284_2	Gene013059
MAG51_285_1	Gene013060
MAG51_285_2	Gene013061
MAG51_285_4	Gene013062
MAG51_286_2	Gene013063
MAG51_286_3	Gene013064
MAG51_287_1	Gene013065
MAG52_4_126	Gene013066
MAG52_4_127	Gene013067
MAG52_4_130	Gene013068
MAG52_4_147	Gene013069
MAG52_4_148	Gene013070
MAG36_53_8	Gene013070
MAG41_75_20	Gene013070
MAG52_4_149	Gene013071
MAG41_75_19	Gene013071
MAG52_4_150	Gene013072
MAG52_4_153	Gene013073
MAG05_21_60	Gene013073
MAG41_43_16	Gene013073
MAG52_4_154	Gene013074
MAG52_4_155	Gene013075
MAG52_4_158	Gene013076
MAG52_4_159	Gene013077
MAG52_4_160	Gene013078
MAG52_4_161	Gene013079
MAG52_5_4	Gene013080
MAG52_5_5	Gene013081
MAG52_5_6	Gene013082
MAG60_26_20	Gene013082
MAG52_5_7	Gene013083
MAG62_18_13	Gene013083
MAG42_199_1	Gene013083
MAG60_26_18	Gene013083
MAG41_90_3	Gene013083
MAG51_211_4	Gene013083
MAG20_4_42	Gene013083
MAG52_5_9	Gene013084
MAG57_40_6	Gene013084
MAG14_8_4	Gene013084
MAG60_26_21	Gene013084
MAG05_66_2	Gene013084
MAG41_90_11	Gene013084
MAG56_4_9	Gene013084
MAG62_49_19	Gene013084
MAG52_5_12	Gene013085
MAG52_5_13	Gene013086
MAG52_5_14	Gene013087
MAG52_5_15	Gene013088
MAG52_5_19	Gene013089
MAG52_5_20	Gene013090
MAG52_5_21	Gene013091
MAG52_5_22	Gene013092
MAG05_2_1	Gene013092
MAG52_5_23	Gene013093
MAG60_33_14	Gene013093
MAG52_5_24	Gene013094
MAG52_5_34	Gene013095
MAG52_5_36	Gene013096
MAG52_5_40	Gene013097
MAG05_2_38	Gene013097
MAG60_12_17	Gene013097
MAG41_108_14	Gene013097
MAG52_5_46	Gene013098
MAG42_390_2	Gene013098
MAG05_2_44	Gene013098
MAG41_108_8	Gene013098
MAG52_5_47	Gene013099
MAG52_5_48	Gene013100
MAG52_5_50	Gene013101
MAG52_5_51	Gene013102
MAG52_5_56	Gene013103
MAG52_5_57	Gene013104
MAG52_22_12	Gene013105
MAG05_14_39	Gene013105
MAG41_3_17	Gene013105
MAG60_14_15	Gene013105
MAG42_4_14	Gene013105
MAG51_70_13	Gene013105
MAG62_57_8	Gene013105
MAG56_55_15	Gene013105
MAG45_15_5	Gene013105
MAG14_22_10	Gene013105
MAG20_3_88	Gene013105
MAG52_22_19	Gene013106
MAG60_14_10	Gene013106
MAG42_863_2	Gene013106
MAG05_14_43	Gene013106
MAG41_3_21	Gene013106
MAG52_22_20	Gene013107
MAG52_22_21	Gene013108
MAG52_22_22	Gene013109
MAG41_3_22	Gene013109
MAG05_14_44	Gene013109
MAG60_14_9	Gene013109
MAG52_22_27	Gene013110
MAG52_22_33	Gene013111
MAG52_22_36	Gene013112
MAG52_22_39	Gene013113
MAG52_22_40	Gene013114
MAG52_22_41	Gene013115
MAG52_22_42	Gene013116
MAG52_22_43	Gene013117
MAG52_22_44	Gene013118
MAG60_21_29	Gene013118
MAG42_132_4	Gene013118
MAG05_23_44	Gene013118
MAG41_21_15	Gene013118
MAG53_5_104	Gene013118
MAG25_171_1	Gene013118
MAG52_22_45	Gene013119
MAG52_22_47	Gene013120
MAG52_22_48	Gene013121
MAG42_93_1	Gene013121
MAG52_26_1	Gene013121
MAG42_35_11	Gene013121
MAG05_62_5	Gene013121
MAG05_33_29	Gene013121
MAG52_22_49	Gene013122
MAG52_23_1	Gene013123
MAG52_23_2	Gene013124
MAG52_23_3	Gene013125
MAG52_23_5	Gene013126
MAG52_23_13	Gene013127
MAG42_19_3	Gene013127
MAG52_23_20	Gene013128
MAG52_23_25	Gene013129
MAG52_23_26	Gene013130
MAG52_23_27	Gene013131
MAG52_23_29	Gene013132
MAG52_23_30	Gene013133
MAG52_23_32	Gene013134
MAG52_23_34	Gene013135
MAG52_23_35	Gene013136
MAG52_23_36	Gene013137
MAG52_23_37	Gene013138
MAG52_23_38	Gene013139
MAG52_23_39	Gene013140
MAG60_149_3	Gene013140
MAG20_19_68	Gene013140
MAG52_23_44	Gene013141
MAG52_23_46	Gene013142
MAG52_23_47	Gene013143
MAG14_19_82	Gene013143
MAG52_23_48	Gene013144
MAG52_23_49	Gene013145
MAG52_23_50	Gene013146
MAG52_23_51	Gene013147
MAG52_23_52	Gene013148
MAG52_24_2	Gene013149
MAG52_24_5	Gene013149
MAG52_24_1	Gene013149
MAG52_24_3	Gene013150
MAG52_24_8	Gene013150
MAG52_20_2	Gene013150
MAG52_20_1	Gene013150
MAG52_24_4	Gene013151
MAG52_24_6	Gene013152
MAG52_24_7	Gene013153
MAG52_82_6	Gene013154
MAG60_92_10	Gene013154
MAG52_82_15	Gene013155
MAG60_92_1	Gene013155
MAG41_71_2	Gene013155
MAG52_82_16	Gene013156
MAG52_82_17	Gene013157
MAG52_82_18	Gene013158
MAG52_82_19	Gene013159
MAG41_119_3	Gene013159
MAG52_82_20	Gene013160
MAG52_82_21	Gene013161
MAG60_133_9	Gene013161
MAG25_30_7	Gene013161
MAG52_83_1	Gene013162
MAG52_83_2	Gene013163
MAG52_83_3	Gene013164
MAG52_83_4	Gene013165
MAG52_83_5	Gene013166
MAG52_83_6	Gene013167
MAG52_83_7	Gene013168
MAG52_83_8	Gene013169
MAG52_83_9	Gene013170
MAG52_83_10	Gene013171
MAG52_83_11	Gene013172
MAG52_83_12	Gene013173
MAG52_83_13	Gene013174
MAG52_84_2	Gene013175
MAG52_84_3	Gene013176
MAG52_85_4	Gene013177
MAG42_206_5	Gene013177
MAG05_71_6	Gene013177
MAG41_127_11	Gene013177
MAG60_150_4	Gene013177
MAG14_5_92	Gene013177
MAG20_21_45	Gene013177
MAG52_85_15	Gene013178
MAG52_85_16	Gene013179
MAG52_86_3	Gene013180
MAG52_86_4	Gene013181
MAG52_86_6	Gene013182
MAG42_254_6	Gene013182
MAG60_10_27	Gene013182
MAG52_86_10	Gene013183
MAG41_99_8	Gene013183
MAG52_86_11	Gene013184
MAG52_87_3	Gene013185
MAG52_192_4	Gene013185
MAG52_190_5	Gene013185
MAG09_29_5	Gene013185
MAG52_87_4	Gene013186
MAG09_29_4	Gene013186
MAG52_87_8	Gene013187
MAG52_87_9	Gene013188
MAG41_22_40	Gene013188
MAG52_121_3	Gene013188
MAG41_132_9	Gene013188
MAG52_87_10	Gene013189
MAG52_88_1	Gene013190
MAG52_88_2	Gene013191
MAG39_1_282	Gene013191
MAG52_88_3	Gene013192
MAG52_88_4	Gene013193
MAG52_88_5	Gene013194
MAG05_13_43	Gene013194
MAG52_88_16	Gene013195
MAG52_182_4	Gene013196
MAG31_342_1	Gene013196
MAG52_128_1	Gene013196
MAG52_183_1	Gene013197
MAG52_183_2	Gene013198
MAG52_183_3	Gene013199
MAG52_183_4	Gene013200
MAG52_184_1	Gene013201
MAG52_185_2	Gene013202
MAG52_186_1	Gene013203
MAG52_187_1	Gene013204
MAG62_11_51	Gene013204
MAG52_188_2	Gene013205
MAG56_253_5	Gene013205
MAG57_120_3	Gene013205
MAG60_121_4	Gene013205
MAG41_43_10	Gene013205
MAG31_423_3	Gene013205
MAG31_500_3	Gene013205
MAG52_188_3	Gene013206
MAG52_189_3	Gene013207
MAG52_190_2	Gene013208
MAG52_191_2	Gene013209
MAG41_2_9	Gene013209
MAG05_5_18	Gene013209
MAG52_192_1	Gene013210
MAG52_190_1	Gene013210
MAG52_192_2	Gene013211
MAG52_192_5	Gene013212
MAG52_190_6	Gene013212
MAG52_193_1	Gene013213
MAG52_193_3	Gene013214
MAG52_193_4	Gene013215
MAG52_194_1	Gene013216
MAG14_10_12	Gene013216
MAG52_194_2	Gene013217
MAG52_194_3	Gene013218
MAG52_195_1	Gene013219
MAG52_196_2	Gene013220
MAG41_312_2	Gene013220
MAG52_196_3	Gene013221
MAG52_197_1	Gene013222
MAG52_197_3	Gene013223
MAG52_198_1	Gene013224
MAG52_198_3	Gene013225
MAG52_199_1	Gene013226
MAG42_556_2	Gene013226
MAG56_67_5	Gene013226
MAG52_199_2	Gene013227
MAG52_199_3	Gene013228
MAG52_200_1	Gene013229
MAG52_201_2	Gene013230
MAG52_201_5	Gene013231
MAG52_202_2	Gene013232
MAG52_202_3	Gene013233
MAG42_421_4	Gene013233
MAG52_202_4	Gene013234
MAG52_203_1	Gene013235
MAG52_203_2	Gene013236
MAG52_204_1	Gene013237
MAG52_204_2	Gene013238
MAG52_205_1	Gene013239
MAG52_205_2	Gene013240
MAG42_329_2	Gene013240
MAG52_206_2	Gene013241
MAG52_207_1	Gene013242
MAG52_208_1	Gene013243
MAG56_158_7	Gene013243
MAG20_17_65	Gene013243
MAG20_32_43	Gene013243
MAG52_208_2	Gene013244
MAG52_209_1	Gene013245
MAG52_210_1	Gene013246
MAG41_307_1	Gene013246
MAG52_210_2	Gene013247
MAG52_115_2	Gene013247
MAG52_210_3	Gene013248
MAG52_115_1	Gene013248
MAG52_211_1	Gene013249
MAG52_211_2	Gene013250
MAG52_212_1	Gene013251
MAG52_212_2	Gene013252
MAG52_212_3	Gene013253
MAG52_213_1	Gene013254
MAG52_213_2	Gene013255
MAG52_214_1	Gene013256
MAG52_214_2	Gene013257
MAG52_214_3	Gene013258
MAG52_215_1	Gene013259
MAG53_1_2	Gene013260
MAG53_1_3	Gene013261
MAG53_1_4	Gene013262
MAG53_1_5	Gene013263
MAG53_1_6	Gene013264
MAG53_1_7	Gene013265
MAG53_18_9	Gene013266
MAG47_2_10	Gene013266
MAG53_18_12	Gene013267
MAG53_18_13	Gene013268
MAG53_18_14	Gene013269
MAG53_18_15	Gene013270
MAG53_18_16	Gene013271
MAG53_18_17	Gene013272
MAG53_18_18	Gene013273
MAG53_18_19	Gene013274
MAG53_18_20	Gene013275
MAG53_18_26	Gene013276
MAG53_18_30	Gene013277
MAG53_18_31	Gene013278
MAG53_18_32	Gene013279
MAG53_18_33	Gene013280
MAG53_18_36	Gene013281
MAG53_18_40	Gene013282
MAG53_18_41	Gene013283
MAG53_18_45	Gene013284
MAG47_22_16	Gene013284
MAG54_8_30	Gene013284
MAG04_14_11	Gene013284
MAG28_18_19	Gene013284
MAG65_63_1	Gene013284
MAG53_18_50	Gene013285
MAG53_18_55	Gene013286
MAG53_18_58	Gene013287
MAG53_19_3	Gene013288
MAG53_19_4	Gene013289
MAG53_19_7	Gene013290
MAG53_19_8	Gene013291
MAG53_19_9	Gene013292
MAG53_19_10	Gene013293
MAG53_19_11	Gene013294
MAG67_3_47	Gene013294
MAG28_64_1	Gene013294
MAG53_19_14	Gene013295
MAG22_8_47	Gene013295
MAG53_19_15	Gene013296
MAG22_8_46	Gene013296
MAG53_19_16	Gene013297
MAG53_19_17	Gene013298
MAG53_19_19	Gene013299
MAG53_19_20	Gene013300
MAG53_19_21	Gene013301
MAG37_48_10	Gene013301
MAG47_14_18	Gene013301
MAG65_16_8	Gene013301
MAG53_19_22	Gene013302
MAG53_19_25	Gene013303
MAG47_14_14	Gene013303
MAG53_19_26	Gene013304
MAG47_31_12	Gene013304
MAG53_19_30	Gene013305
MAG53_19_31	Gene013306
MAG53_19_33	Gene013307
MAG53_19_34	Gene013308
MAG53_19_35	Gene013309
MAG53_19_37	Gene013310
MAG13_28_6	Gene013310
MAG27_11_108	Gene013310
MAG53_14_61	Gene013310
MAG53_19_42	Gene013311
MAG53_19_44	Gene013312
MAG53_19_47	Gene013313
MAG53_60_9	Gene013314
MAG53_60_11	Gene013315
MAG53_60_12	Gene013316
MAG28_29_23	Gene013316
MAG46_24_10	Gene013316
MAG54_52_9	Gene013316
MAG53_60_13	Gene013317
MAG53_60_14	Gene013318
MAG53_51_20	Gene013318
MAG53_61_1	Gene013319
MAG53_61_2	Gene013320
MAG53_61_3	Gene013321
MAG53_61_5	Gene013322
MAG53_61_6	Gene013323
MAG53_61_7	Gene013324
MAG53_61_8	Gene013325
MAG53_61_11	Gene013326
MAG04_27_14	Gene013326
MAG28_2_116	Gene013326
MAG54_9_26	Gene013326
MAG69_12_21	Gene013326
MAG64_7_39	Gene013326
MAG53_61_13	Gene013327
MAG53_61_14	Gene013328
MAG53_62_1	Gene013329
MAG53_62_2	Gene013330
MAG53_62_4	Gene013331
MAG53_62_7	Gene013332
MAG28_2_2	Gene013332
MAG54_33_18	Gene013332
MAG04_1_3	Gene013332
MAG46_16_30	Gene013332
MAG49_50_15	Gene013332
MAG47_76_12	Gene013332
MAG65_35_2	Gene013332
MAG10_15_12	Gene013332
MAG02_167_5	Gene013332
MAG53_62_8	Gene013333
MAG53_62_9	Gene013334
MAG53_62_12	Gene013335
MAG53_63_2	Gene013336
MAG65_1_8	Gene013336
MAG53_63_3	Gene013337
MAG47_44_19	Gene013337
MAG53_63_4	Gene013338
MAG53_63_6	Gene013339
MAG53_63_7	Gene013340
MAG53_63_9	Gene013341
MAG53_63_10	Gene013342
MAG53_64_1	Gene013343
MAG53_64_2	Gene013344
MAG53_64_3	Gene013345
MAG53_64_4	Gene013346
MAG53_64_8	Gene013347
MAG53_64_10	Gene013348
MAG53_65_2	Gene013349
MAG53_65_10	Gene013350
MAG47_1_9	Gene013350
MAG53_66_3	Gene013351
MAG53_66_4	Gene013352
MAG53_66_5	Gene013353
MAG53_66_6	Gene013354
MAG53_66_7	Gene013355
MAG53_66_8	Gene013356
MAG53_66_9	Gene013357
MAG53_66_10	Gene013358
MAG53_66_11	Gene013359
MAG68_3_6	Gene013359
MAG53_66_12	Gene013360
MAG53_66_13	Gene013361
MAG53_67_1	Gene013362
MAG53_67_3	Gene013363
MAG27_1_198	Gene013363
MAG53_67_5	Gene013364
MAG53_67_6	Gene013365
MAG53_67_7	Gene013366
MAG53_67_10	Gene013367
MAG53_68_1	Gene013368
MAG53_68_2	Gene013369
MAG53_68_5	Gene013370
MAG53_68_6	Gene013371
MAG53_68_7	Gene013372
MAG53_68_8	Gene013373
MAG53_68_9	Gene013374
MAG53_57_2	Gene013374
MAG53_68_10	Gene013375
MAG53_68_12	Gene013376
MAG53_57_4	Gene013376
MAG01_1_1	Gene013377
MAG01_1_2	Gene013378
MAG01_1_4	Gene013379
MAG01_1_5	Gene013380
MAG01_1_6	Gene013381
MAG01_1_7	Gene013382
MAG01_1_8	Gene013383
MAG01_1_9	Gene013384
MAG01_1_10	Gene013385
MAG01_1_11	Gene013386
MAG01_1_12	Gene013387
MAG01_1_13	Gene013388
MAG01_1_14	Gene013389
MAG01_1_15	Gene013390
MAG01_1_16	Gene013391
MAG01_1_17	Gene013392
MAG01_1_18	Gene013393
MAG01_1_19	Gene013394
MAG01_1_20	Gene013395
MAG01_1_21	Gene013396
MAG01_1_22	Gene013397
MAG01_1_23	Gene013398
MAG01_1_24	Gene013399
MAG01_1_25	Gene013400
MAG01_1_26	Gene013401
MAG01_1_27	Gene013402
MAG01_1_28	Gene013403
MAG01_1_29	Gene013404
MAG01_1_30	Gene013405
MAG01_1_31	Gene013406
MAG01_1_32	Gene013407
MAG01_1_33	Gene013408
MAG01_1_34	Gene013409
MAG01_1_35	Gene013410
MAG01_1_36	Gene013411
MAG01_1_37	Gene013412
MAG01_1_38	Gene013413
MAG01_1_39	Gene013414
MAG01_1_40	Gene013415
MAG01_1_41	Gene013416
MAG01_1_42	Gene013417
MAG01_1_43	Gene013418
MAG01_1_44	Gene013419
MAG01_1_45	Gene013420
MAG01_1_46	Gene013421
MAG01_1_47	Gene013422
MAG01_1_48	Gene013423
MAG01_1_49	Gene013424
MAG01_1_50	Gene013425
MAG01_1_51	Gene013426
MAG01_1_52	Gene013427
MAG01_1_53	Gene013428
MAG01_1_54	Gene013429
MAG01_1_55	Gene013430
MAG01_1_56	Gene013431
MAG01_1_57	Gene013432
MAG14_52_11	Gene013432
MAG20_9_91	Gene013432
MAG51_12_3	Gene013432
MAG62_74_10	Gene013432
MAG01_1_58	Gene013433
MAG03_20_3	Gene013433
MAG01_1_59	Gene013434
MAG01_1_60	Gene013435
MAG01_1_61	Gene013436
MAG01_1_62	Gene013437
MAG01_1_63	Gene013438
MAG01_1_65	Gene013439
MAG01_1_66	Gene013440
MAG01_1_67	Gene013441
MAG01_1_68	Gene013442
MAG01_1_69	Gene013443
MAG01_1_70	Gene013444
MAG40_8_17	Gene013444
MAG01_1_73	Gene013445
MAG01_1_74	Gene013446
MAG01_1_75	Gene013447
MAG01_1_76	Gene013448
MAG01_1_77	Gene013449
MAG01_1_78	Gene013450
MAG01_1_79	Gene013451
MAG01_1_80	Gene013452
MAG01_1_81	Gene013453
MAG01_1_82	Gene013454
MAG01_1_83	Gene013455
MAG01_1_84	Gene013456
MAG01_1_85	Gene013457
MAG01_1_86	Gene013458
MAG01_1_87	Gene013459
MAG01_1_88	Gene013460
MAG01_1_89	Gene013461
MAG01_1_91	Gene013462
MAG01_1_92	Gene013463
MAG01_1_93	Gene013464
MAG01_1_94	Gene013465
MAG01_1_95	Gene013466
MAG01_1_96	Gene013467
MAG01_1_97	Gene013468
MAG01_1_98	Gene013469
MAG01_1_99	Gene013470
MAG07_258_2	Gene013470
MAG01_1_100	Gene013471
MAG01_1_101	Gene013472
MAG57_357_1	Gene013472
MAG02_83_9	Gene013473
MAG02_84_1	Gene013474
MAG10_4_53	Gene013474
MAG02_84_2	Gene013475
MAG63_64_7	Gene013475
MAG46_6_4	Gene013475
MAG37_24_19	Gene013475
MAG53_30_25	Gene013475
MAG10_10_19	Gene013475
MAG22_98_2	Gene013475
MAG43_2_55	Gene013475
MAG44_3_31	Gene013475
MAG04_36_3	Gene013475
MAG28_19_30	Gene013475
MAG49_3_72	Gene013475
MAG54_117_7	Gene013475
MAG67_35_6	Gene013475
MAG69_15_3	Gene013475
MAG68_37_2	Gene013475
MAG17_10_2	Gene013475
MAG26_12_4	Gene013475
MAG47_2_14	Gene013475
MAG64_4_90	Gene013475
MAG33_11_57	Gene013475
MAG02_84_3	Gene013476
MAG02_84_4	Gene013477
MAG10_10_18	Gene013477
MAG02_84_10	Gene013478
MAG02_85_1	Gene013479
MAG10_38_6	Gene013479
MAG46_10_20	Gene013479
MAG02_85_2	Gene013480
MAG02_85_3	Gene013481
MAG10_38_8	Gene013481
MAG44_16_33	Gene013481
MAG46_10_22	Gene013481
MAG02_85_4	Gene013482
MAG10_38_9	Gene013482
MAG02_85_9	Gene013483
MAG13_259_3	Gene013483
MAG10_33_17	Gene013483
MAG44_1_122	Gene013483
MAG46_18_32	Gene013483
MAG63_27_14	Gene013483
MAG27_3_36	Gene013483
MAG02_85_11	Gene013484
MAG44_1_120	Gene013484
MAG02_85_12	Gene013485
MAG10_64_2	Gene013485
MAG46_18_35	Gene013485
MAG04_5_35	Gene013485
MAG28_4_132	Gene013485
MAG44_1_119	Gene013485
MAG02_85_13	Gene013486
MAG02_86_1	Gene013487
MAG44_2_52	Gene013487
MAG10_54_6	Gene013487
MAG02_86_2	Gene013488
MAG02_86_4	Gene013489
MAG02_86_5	Gene013490
MAG10_29_17	Gene013490
MAG02_86_6	Gene013491
MAG02_87_3	Gene013492
MAG02_87_7	Gene013493
MAG02_87_8	Gene013494
MAG02_87_9	Gene013495
MAG02_88_1	Gene013496
MAG02_88_4	Gene013497
MAG10_73_7	Gene013497
MAG02_88_9	Gene013498
MAG02_88_11	Gene013499
MAG10_45_2	Gene013499
MAG46_13_16	Gene013499
MAG44_8_7	Gene013499
MAG02_89_1	Gene013500
MAG02_89_2	Gene013501
MAG02_89_3	Gene013502
MAG02_89_4	Gene013503
MAG02_89_6	Gene013504
MAG44_1_53	Gene013504
MAG46_2_76	Gene013504
MAG10_41_8	Gene013504
MAG02_89_7	Gene013505
MAG02_89_8	Gene013506
MAG04_1_127	Gene013506
MAG22_48_15	Gene013506
MAG27_3_74	Gene013506
MAG53_12_24	Gene013506
MAG54_145_1	Gene013506
MAG64_4_19	Gene013506
MAG68_48_1	Gene013506
MAG28_25_28	Gene013506
MAG46_21_40	Gene013506
MAG47_21_18	Gene013506
MAG50_36_20	Gene013506
MAG33_73_21	Gene013506
MAG02_89_10	Gene013507
MAG02_90_6	Gene013508
MAG02_91_2	Gene013509
MAG02_91_4	Gene013510
MAG10_79_5	Gene013510
MAG48_1_38	Gene013510
MAG02_92_1	Gene013511
MAG02_92_2	Gene013512
MAG02_92_5	Gene013513
MAG02_92_7	Gene013514
MAG02_93_1	Gene013515
MAG02_93_3	Gene013516
MAG02_93_5	Gene013517
MAG02_94_1	Gene013518
MAG02_94_2	Gene013519
MAG02_94_3	Gene013520
MAG02_94_4	Gene013521
MAG03_27_7	Gene013522
MAG14_12_46	Gene013522
MAG20_12_2	Gene013522
MAG62_3_68	Gene013522
MAG57_52_7	Gene013522
MAG45_92_5	Gene013522
MAG56_53_8	Gene013522
MAG03_27_9	Gene013523
MAG03_27_10	Gene013524
MAG03_27_11	Gene013525
MAG03_28_1	Gene013526
MAG56_40_6	Gene013526
MAG41_88_1	Gene013526
MAG18_66_3	Gene013526
MAG52_2_128	Gene013526
MAG14_11_3	Gene013526
MAG20_26_1	Gene013526
MAG05_9_20	Gene013526
MAG29_33_28	Gene013526
MAG62_127_4	Gene013526
MAG16_74_2	Gene013526
MAG03_28_2	Gene013527
MAG03_28_4	Gene013528
